id;Data;Ano_Construção;Ano_Reforma;Sala;Escritório;Cozinha;Quarto;Banheiro;Andares; Preço 
1;20141013;1955;0;1;0;1;3;1;1;221900
2;20141209;1951;1991;2;0;1;3;2.25;2;538000
3;20150225;1933;0;1;0;1;2;1;1;180000
4;20141209;1965;0;1;0;1;4;3;1;604000
5;20150218;1987;0;1;0;1;3;2;1;510000
6;20140512;2001;0;1;0;1;4;4.5;1;1225000000
7;20140627;1995;0;2;0;1;3;2.25;2;257500
8;20150115;1963;0;1;0;1;3;1.5;1;291850
9;20150415;1960;0;1;0;1;3;1;1;229500
10;20150312;2003;0;2;0;1;3;2.5;2;323000
11;20150403;1965;0;1;0;1;3;2.5;1;662500
12;20140527;1942;0;1;0;1;2;1;1;468000
13;20140528;1927;0;1.5;0.5;1;3;1;1.5;310000
14;20141007;1977;0;1;0;1;3;1.75;1;400000
15;20150312;1900;0;1.5;0.5;1;5;2;1.5;530000
16;20150124;1979;0;2;0;1;4;3;2;650000
17;20140731;1994;0;2;0;1;3;2;2;395000
18;20140529;1916;0;1.5;0.5;1;4;1;1.5;485000
19;20141205;1921;0;1;0;1;2;1;1;189000
20;20150424;1969;0;1;0;1;3;1;1;230000
21;20140514;1947;0;1;0;1;4;1.75;1;385000
22;20140826;1968;0;1;0;1;3;2.75;1;2000000
23;20140703;1995;0;2;0;1;5;2.5;2;285000
24;20140516;1985;0;1;0;1;2;1.5;1;252700
25;20141120;1985;0;2;0;1;3;2.25;2;329000
26;20141103;1941;0;1.5;0.5;1;3;2;1.5;233000
27;20140626;1915;0;2;0;1;3;1.75;2;937000
28;20141201;1909;0;1.5;0.5;1;3;1;1.5;667000
29;20140624;1948;0;1;0;1;3;1.75;1;438000
30;20150302;2005;0;2;0;1;4;2.5;2;719000
31;20141110;2003;0;2;0;1;3;2.5;2;580500
32;20141201;2005;0;1;0;1;2;1.5;3;280000
33;20140624;1929;0;1.5;0.5;1;4;1.75;1.5;687500
34;20141110;1929;0;1.5;0.5;1;3;1;1.5;535000
35;20141203;1981;0;1;0;1;4;2.75;1;322500
36;20140613;1930;2002;1.5;0.5;1;3;2.5;1.5;696000
37;20140528;1933;0;1;0;1;4;1;1;550000
38;20141230;1904;0;2;0;1;4;2;2;640000
39;20150213;1969;0;1;0;1;4;1;1;240000
40;20140620;1996;0;2;0;1;4;2.5;2;605000
41;20140715;2000;0;2;0;1;4;2.5;2;625000
42;20140811;1984;0;1;0;1;4;2.25;1;775000
43;20140707;2014;0;2;0;1;5;2.75;2;861990
44;20141028;1922;0;2;0;1;3;1;2;685000
45;20140729;1959;0;1;0;1;3;1;1;309000
46;20140718;2003;0;2;0;1;3;2.5;2;488000
47;20150325;1966;0;1;0;1;3;1;1;210490
